,SE,S,NE,N
2025-10-10 10:00:00,0.027347706367733298,0.04284506809989163,0.0,0.04496086548249076
2025-10-10 11:00:00,0.03433191108329753,0.1978093959136823,0.0,0.14168800328485648
2025-10-10 12:00:00,0.12005698593556632,0.2390025148912357,0.1843340453251609,0.13004312774321108
2025-10-10 13:00:00,0.1514028631013637,0.2404065239025275,0.48348961091650466,0.28545927352051215
2025-10-10 14:00:00,0.18588895900862093,0.32867991192609924,0.176422557833669,0.3384517830194256
2025-10-10 15:00:00,0.2595600933420274,0.5717554338571899,0.11524374613139814,0.7150344398616189
2025-10-10 16:00:00,0.11239917278160427,0.5923953394710934,0.060421277031608,0.6061366804606563
2025-10-10 17:00:00,0.21311678644653492,0.4279939616945547,0.2982895400780467,0.30645396084946935
2025-10-10 18:00:00,0.17525373462368984,0.19673403950651036,0.16174884197930134,0.17720737479045595
2025-10-10 19:00:00,0.039060528083193685,0.05786525830830495,0.1064770240912921,0.02330029386759519
2025-10-10 20:00:00,0.012400797591891215,0.0409175625483964,0.032304566399847655,0.015950834936305093
2025-10-10 21:00:00,9.518572224770128e-05,0.0006623329134350537,0.0010775580671690895,0.00041069350007385684
2025-10-10 22:00:00,0.0,0.0,0.0,0.0
2025-10-10 23:00:00,0.0,0.0,0.0,0.0
2025-10-11 00:00:00,0.0,0.0,0.0,0.0
2025-10-11 01:00:00,0.0,0.0,0.0,0.0
2025-10-11 02:00:00,0.0,0.0,0.0,0.0
2025-10-11 03:00:00,0.0,0.0,0.0,0.0
2025-10-11 04:00:00,0.0,0.0,0.0,0.0
2025-10-11 05:00:00,0.0,0.0,0.0,0.0
2025-10-11 06:00:00,0.0,0.0,0.0,0.0
2025-10-11 07:00:00,0.0,0.0,0.0,0.0
2025-10-11 08:00:00,3.0052703506169297e-06,0.0002939468991507746,0.0,0.00011358617773055587
2025-10-11 09:00:00,0.010525132504154298,0.07574018915455921,0.022185720837189626,0.08686694169196474
2025-10-11 10:00:00,0.09955337098634447,0.44305964439433576,0.22057602351295094,0.2936028821171085
2025-10-11 11:00:00,0.19386607784241394,0.7466299393006701,0.5971095077144186,0.556536471643539
2025-10-11 12:00:00,0.2394472668259187,0.7400069301094301,0.9927839957728396,0.6942244631754597
2025-10-11 13:00:00,0.5877405986517455,0.5274541776891983,0.0,0.49213915576231204
2025-10-11 14:00:00,0.26585416394707095,0.4238833421830883,0.0,0.25426850654030136
2025-10-11 15:00:00,0.16435666486521563,0.3341417961407372,0.0,0.5237539057818551
2025-10-11 16:00:00,0.1707928979917232,0.30597304803904807,0.0,0.2552353895014483
2025-10-11 17:00:00,0.19878042816166447,0.3276139088824863,0.010065415350237278,0.43123041204339535
2025-10-11 18:00:00,0.20243934638555933,0.2816487497068387,0.02884391658388999,0.1744439026103164
2025-10-11 19:00:00,0.18034306445762055,0.04009031087056848,0.03639326016104124,0.05838862848547783
2025-10-11 20:00:00,0.05121883573852401,0.06923605457171624,0.01549702965605446,0.07339095055068201
2025-10-11 21:00:00,0.00013217027298074378,0.002414681579752856,0.0009759213305083852,0.0009682943513594058
2025-10-11 22:00:00,0.0,0.0,0.0,0.0
2025-10-11 23:00:00,0.0,0.0,0.0,0.0
2025-10-12 00:00:00,0.0,0.0,0.0,0.0
2025-10-12 01:00:00,0.0,0.0,0.0,0.0
2025-10-12 02:00:00,0.0,0.0,0.0,0.0
2025-10-12 03:00:00,0.0,0.0,0.0,0.0
2025-10-12 04:00:00,0.0,0.0,0.0,0.0
2025-10-12 05:00:00,0.0,0.0,0.0,0.0
2025-10-12 06:00:00,0.0,0.0,0.0,0.0
2025-10-12 07:00:00,0.0,0.0,0.0,0.0
2025-10-12 08:00:00,1.7340665298227198e-05,7.727969203099344e-06,0.0,7.993201646356768e-05
2025-10-12 09:00:00,0.01261274126123408,0.0798260656462191,0.00912225327108261,0.1460550488543173
2025-10-12 10:00:00,0.04481001254396754,0.28861148095797723,0.1379228964952614,0.38268009679238674
2025-10-12 11:00:00,0.19658047041532561,0.47951955436117477,0.423681375414524,0.5346791574626846
2025-10-12 12:00:00,0.35352567472231966,0.5576932875933063,0.43699364668008533,0.5015163474203532
2025-10-12 13:00:00,0.693290146317535,0.6926839593028661,0.5948523758004585,0.661726341610682
2025-10-12 14:00:00,0.9598206831855153,0.6999091813663024,0.8516865159013233,0.6289483402580429
